,Make,Model,Body color,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,Engine capacity,CO2 emissions,Emission class,Mileage,First registration,Previous owners,Type of finish,Weight,Condition,Country of origin,Warranty until,Valid MOT until,Battery type,Battery capacity,Range extender,Hybrid type,AC charging time,DC charging time,Electric range,Secondary drive,Energy efficiency,Full service history,Price
1094,DS Automobiles,DS3 Crossback,Grey,,,Hatchback,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,1 199 ccm,111 g/km,Euro 6,25 379 km,8/2021,,,,Used,,12/2024,,,,,,,,,,,,26199
1095,Peugeot,3008,White,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,133 kW,1 598 ccm,131 g/km,Euro 6d-TEMP,68 490 km,10/2019,1,Metallic,,,,,11/2024,,,,,,,,,,,28899
1096,Volkswagen,Touareg,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,170 kW,2 967 ccm,182 g/km,No emission class,68 161 km,10/2019,1,,,,,,,,,,,,,,,,,40399
1097,Audi,A4,Black,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 984 ccm,131 g/km,Euro 6d-TEMP,20 299 km,3/2023,1,Metallic,,Used,,,,,,,,,,,,,,42399
1098,Hyundai,i30,Grey,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,88 kW,1 498 ccm,127 g/km,No emission class,9 181 km,7/2022,,,,,,,07/2025,,,,,,,,,,,21349
1099,Ford,Transit,Blue,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,74 kW,2 198 ccm,199 g/km,Euro 6,102 000 km,12/2014,,,,,,,01/2025,,,,,,,,,,,16349
1100,Peugeot,308,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,1 499 ccm,114 g/km,Euro 6,50 600 km,4/2022,1,,,Used,,12/2024,,,,,,,,,,,,24149
1101,Mitsubishi,Eclipse Cross,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,138 kW,2 360 ccm,46 g/km,Euro 6d-TEMP,5 km,1/2023,,Metallic,1875,New,,,,,,,,,,,,,,44649
1102,Volkswagen,T7 Multivan,Orange,Black interior,Full leather interior,MPV/VAN,4/5 doors,7,not published by the seller,Petrol,Automatic,4x2,150 kW,1 984 ccm,175 g/km,Euro 6d,21 919 km,2/2022,1,Metallic,,,,,02/2025,,,,,,,,,,,62299
1103,Renault,Kadjar,Blue,Beige interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,1 461 ccm,115 g/km,Euro 6,91 367 km,7/2020,1,,,Used,,06/2024,,,,,,,,,,,,16599
1104,Volkswagen,Golf,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,Euro 6d-TEMP,26 207 km,10/2020,,,1615,Used,,,,Lithium-ion (Li-ion),36 kWh,No,,5 h,45 min,,,,,21449
1105,Volvo,XC60,Silver,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,228 kW,1 969 ccm,177 g/km,Euro 6,65 459 km,3/2019,,Metallic,,,,,10/2024,,,,,,,,,,,37749
1106,Peugeot,2008,White,,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,88 kW,1 560 ccm,96 g/km,Euro 6,119 513 km,3/2018,,,,Used,,12/2024,,,,,,,,,,,,14699
1107,Citroen,Jumper,White,Black interior,Cloth interior,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Manual,4x2,96 kW,1 997 ccm,159 g/km,Euro 6,94 936 km,10/2017,,,2230,Used,,,,,,,,,,,,,,19599
1108,BMW,320,Grey,Black interior,Alcantara interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,135 kW,1 998 ccm,130 g/km,Euro 6d,40 200 km,10/2020,1,Metallic,,,,,,,,,,,,,,,,37299
1109,Opel,Mokka,Grey,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Manual,4x2,100 kW,,0 g/km,No emission class,17 100 km,5/2021,1,Metallic,,,,,,,50 kWh,No,,,,,,,,23599
1110,Mercedes-Benz,C 300,Black,Black interior,Alcantara interior,Station Wagon,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,225 kW,1 950 ccm,150 g/km,No emission class,64 811 km,2/2020,1,,,,,,,,,,,,,,,,,33049
1111,Seat,Ateca,Black,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,140 kW,1 984 ccm,156 g/km,Euro 6d,50 km,11/2023,1,Metallic,,,,,,,,,,,,,,,,38249
1112,MG,Marvel R,Grey,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,132 kW,,0 g/km,Euro 6,10 km,10/2023,,,,Used,,12/2030,,,70 kWh,No,,,,420 km,,,,39299
1113,Seat,Ibiza,Red,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,CNG,Manual,4x2,66 kW,999 ccm,95 g/km,Euro 6d,8 773 km,2/2023,1,,,Used,,,02/2026,,,,,,,,,,,16249
1114,BMW,X7,Black,Black interior,Full leather interior,SUV / offroad,4/5 doors,7,not published by the seller,Diesel,Automatic,4x4,259 kW,2 993 ccm,224 g/km,Euro 6d,14 km,9/2023,,Metallic,,New,,,,,,,,,,,,,,122599
1115,Opel,Corsa,White,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,55 kW,1 199 ccm,93 g/km,Euro 6d,64 420 km,3/2020,1,,,,,,,,,,,,,,,,,13749
1116,Skoda,Octavia,White,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,1 498 ccm,117 g/km,No emission class,54 700 km,7/2021,,Metallic,,Used,Germany,,,,,,,,,,,,,27749
1117,Citroen,C4 X,White,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,No emission class,3 000 km,2/2023,,,1659,Used,,,,,,,,,,,,,,37399
1118,Peugeot,308,Grey,,,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,1 598 ccm,23 g/km,Euro 6,21 766 km,2/2023,,,,Used,,12/2024,,,13 kWh,No,Full hybrid,,,65 km,,,,33549
1119,Mercedes-Benz,CLA 250 Shooting Brake,White,Black interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,160 kW,1 332 ccm,24 g/km,Euro 6d-TEMP,20 950 km,10/2021,1,,,,,,,,,,,,,,,,,33449
1120,Mercedes-Benz,A 200,Black,,,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,120 kW,1 332 ccm,134 g/km,Euro 6,14 315 km,7/2022,,,,Used,,12/2025,,,,,,,,,,,,34599
